Kabupaten/Kota,Tahun,ROKOK DAN TEMBAKAU,Rokok kretek filter,Rokok kretek tanpa filter,Rokok putih,Tembakau,Rokok dan tembakau Lainnya
Barito Utara,2019,17682.85,17063.79,591.72,0.0,21.21,6.14
Sukamara,2019,27047.3,23117.46,2018.33,1550.4,70.55,290.56
Lamandau,2019,28972.03,25338.53,872.42,2189.84,246.96,324.28
Seruyan,2019,26014.25,18628.86,3598.13,3758.16,29.1,0.0
Katingan,2019,22841.34,19031.84,2558.92,878.63,199.44,172.5
Pulang Pisau,2019,21949.66,19814.8,1670.63,255.78,164.01,44.44
Gunung Mas,2019,25096.07,20570.57,2363.29,1916.12,38.83,207.26
Barito Timur,2019,15429.34,14112.04,1140.64,130.16,43.96,2.54
Murung Raya,2019,19107.06,14666.76,2934.69,1151.8,260.74,93.07
Kota Palangka Raya,2019,17448.76,16688.97,728.91,30.88,0.0,0.0
Tanah Laut,2019,17717.76,16591.21,965.5,0.0,78.17,82.87
Kota Baru,2019,19332.0,16694.48,1152.33,1446.53,20.08,18.59
Banjar,2019,15236.67,14788.35,271.1,87.09,0.0,90.12
Barito Kuala,2019,13468.06,12375.7,979.73,45.18,15.61,51.84
Tapin,2019,17917.69,16946.81,443.35,290.04,0.0,237.49
Hulu Sungai Selatan,2019,11306.48,10966.64,244.0,0.0,0.0,95.85
Hulu Sungai Tengah,2019,13944.83,12519.64,1188.96,193.31,0.0,42.92
Hulu Sungai Utara,2019,10269.26,9733.58,506.54,0.0,0.0,29.14
Tabalong,2019,14277.79,11557.89,1364.43,1355.47,0.0,0.0
Tanah Bumbu,2019,19829.79,18482.03,639.75,555.75,91.99,60.28
Balangan,2019,12852.8,11877.56,865.51,109.72,0.0,0.0
Kota Banjarmasin,2019,14556.1,13612.48,618.32,279.1,0.0,46.2
Kota Banjar Baru,2019,17483.44,14635.05,711.7,2013.93,122.75,0.0
Paser,2019,21876.28,18552.37,842.41,2293.93,13.89,173.67
Kutai Barat,2019,21468.57,19732.28,410.46,1303.87,7.44,14.53
Kutai Kartanegara,2019,16353.84,14832.5,504.97,936.02,39.41,40.95
Kutai Timur,2019,24779.83,20095.93,865.91,3676.05,21.08,120.86
Berau,2019,23526.71,19428.38,1193.27,2602.98,11.01,291.07
Penajam Paser Utara,2019,19773.18,17325.59,802.09,1523.97,67.74,53.79
Mahakam Ulu,2019,27014.34,21209.37,397.7,3647.12,450.95,1309.19
Kota Balikpapan,2019,15952.37,13168.78,555.76,2155.05,0.89,71.89
Kota Samarinda,2019,16301.0,15231.83,389.83,626.37,0.0,52.97
Kota Bontang,2019,14413.72,12720.72,271.81,1401.43,0.0,19.76
Malinau,2019,18651.49,12924.27,699.3,3819.13,607.96,600.82
Bulungan,2019,24111.44,21537.78,521.9,1455.38,53.3,543.07
Tana Tidung,2019,29996.83,24581.14,1049.28,4233.61,132.38,0.42
Nunukan,2019,19982.35,14426.2,3431.03,2038.9,86.23,0.0
Kota Tarakan,2019,16511.51,13461.43,356.92,2452.17,11.54,229.46
Bolaang Mongondow,2019,21088.05,17132.4,191.42,3580.14,165.6,18.5
Minahasa,2019,14801.49,12759.81,468.54,1551.47,21.67,0.0
Kepulauan Sangihe,2019,13573.01,12514.26,355.02,572.87,126.93,3.94
Kepulauan Talaud,2019,14624.74,13256.88,830.26,201.26,306.7,29.64
Minahasa Selatan,2019,13837.58,11422.89,741.01,1598.74,74.94,0.0
Minahasa Utara,2019,15863.71,14688.15,243.33,839.92,92.31,0.0
Bolaang Mongondow Utara,2019,18159.33,16513.87,148.72,1169.5,326.1,1.14
Siau Tagulandang Biaro,2019,11519.27,11201.11,188.54,39.66,89.97,0.0
Minahasa Tenggara,2019,13103.02,12406.0,150.7,512.17,27.73,6.41
Bolaang Mongondow Selatan,2019,18054.34,15371.66,842.08,1402.52,286.08,152.0
Bolaang Mongondow Timur,2019,20735.29,19295.52,221.62,1061.65,156.49,0.0
Kota Manado,2019,13926.74,11286.99,476.55,2158.02,5.19,0.0
Kota Bitung,2019,17777.55,16275.04,342.23,1148.87,11.42,0.0
Kota Tomohon,2019,14562.63,11945.18,558.17,2059.28,0.0,0.0
Kota Kotamobagu,2019,22418.19,15695.94,426.96,6195.31,95.95,4.02
Banggai Kepulauan,2019,16423.48,15105.05,147.52,565.35,598.22,7.33
Banggai,2019,16436.07,12815.52,376.87,2990.35,196.35,56.99
Morowali,2019,25781.26,23474.21,472.09,1812.58,22.38,0.0
Poso,2019,17643.08,15737.95,332.89,1533.47,38.77,0.0
Donggala,2019,15993.57,15444.75,427.16,69.59,49.16,2.92
Toli-Toli,2019,16853.82,12313.94,782.24,3668.5,89.15,0.0
Buol,2019,16157.19,13063.89,1669.91,1148.62,262.54,12.23
Parigi Moutong,2019,16617.03,15278.58,550.43,582.55,198.89,6.59
Tojo Una-Una,2019,19916.15,18288.7,772.3,639.12,207.18,8.85
Sigi,2019,18287.22,15384.0,624.04,2100.41,178.77,0.0
Banggai Laut,2019,16127.04,14112.62,123.25,1760.5,130.68,0.0
Morowali Utara,2019,18973.48,16402.31,440.58,1926.98,200.25,3.36
Kota Palu,2019,18622.33,15071.56,554.73,2995.55,0.49,0.0
Kepulauan Selayar,2019,20485.69,18380.5,422.17,1270.41,357.31,55.3
Bulukumba,2019,12972.95,10201.65,1805.57,784.21,165.21,16.31
Bantaeng,2019,16123.23,12323.5,2698.25,925.75,138.14,37.59
Jeneponto,2019,13218.81,10966.61,1596.89,443.15,201.85,10.32
Takalar,2019,15928.12,15282.62,202.76,403.55,36.58,2.61
Gowa,2019,16279.47,12640.26,1277.84,2238.97,111.93,10.47
Sinjai,2019,10619.39,8452.93,879.21,588.0,654.8,44.44
Maros,2019,16296.21,14657.21,506.02,1098.86,34.13,0.0
Pangkajene dan Kepulauan,2019,13397.66,12326.44,603.97,447.3,19.95,0.0
Barru,2019,12305.78,6907.37,756.41,4617.61,13.69,10.71
Bone,2019,14687.65,13413.89,841.93,220.19,186.79,24.85
Soppeng,2019,13535.14,12380.83,426.57,718.87,8.87,0.0
Wajo,2019,17945.46,15668.4,82.64,2127.63,34.46,32.33
Sidenreng Rappang,2019,17222.53,16469.95,308.6,442.35,1.63,0.0
Pinrang,2019,16584.25,16533.66,46.98,0.0,0.0,3.6
Enrekang,2019,13177.21,12656.23,120.36,250.73,91.1,58.79
Luwu,2019,14764.4,13699.07,389.1,616.05,60.18,0.0
Tana Toraja,2019,12456.53,10485.83,671.5,1041.6,22.05,235.57
Luwu Utara,2019,17226.89,15785.52,840.17,523.88,73.62,3.7
Luwu Timur,2019,18755.94,16570.69,117.23,2026.24,17.37,24.41
Toraja Utara,2019,9779.38,8817.1,102.98,801.92,9.36,48.02
Kota Makasar,2019,13417.49,11282.08,755.11,1360.03,0.0,20.27
Kota Parepare,2019,15019.77,12989.38,436.1,1296.9,0.0,297.38
Kota Palopo,2019,18422.27,17610.68,555.39,227.78,28.42,0.0
Buton,2019,8587.07,6224.1,342.97,1955.26,63.08,1.65
Muna,2019,9798.78,8080.96,649.5,1024.31,37.84,6.16
Konawe,2019,16360.22,13730.36,893.22,1430.12,306.52,0.0
Kolaka,2019,19398.17,16323.19,547.13,2387.7,140.15,0.0
Konawe Selatan,2019,14257.29,12891.36,427.63,667.67,249.74,20.88
Bombana,2019,20238.03,15753.45,664.73,3584.45,191.17,44.24
Wakatobi,2019,12878.82,11796.28,608.88,425.24,26.98,21.43
Kolaka Utara,2019,18309.05,15694.46,72.52,2427.16,114.92,0.0
Buton Utara,2019,12742.39,11114.35,413.79,1175.64,19.5,19.1
Konawe Utara,2019,21886.42,18843.93,611.5,2381.33,47.89,1.77
Kolaka Timur,2019,16495.02,14220.79,1411.95,731.7,127.2,3.36
Konawe Kepulauan,2019,18170.89,15343.06,945.51,1857.04,24.68,0.6
Muna Barat,2019,9304.32,7170.09,1052.08,942.17,135.67,4.31
Buton Tengah,2019,7886.25,4689.28,77.63,3105.03,1.0,13.31
Buton Selatan,2019,11169.56,8933.37,674.35,1540.03,21.82,0.0
Kota Kendari,2019,17838.9,16069.37,317.61,1451.93,0.0,0.0
Kota Baubau,2019,11582.88,8988.42,472.62,2100.1,1.27,20.47
Boalemo,2019,13075.34,9996.79,721.59,1951.99,213.12,191.85
Gorontalo,2019,14246.56,13730.98,44.6,107.26,178.6,185.12
Pohuwato,2019,16441.08,13730.65,663.95,1805.54,173.34,67.61
Bone Bolango,2019,16167.02,13259.92,1533.74,929.05,138.15,306.16
Gorontalo Utara,2019,12276.97,8324.11,1611.26,1229.15,478.19,634.26
Kota Gorontalo,2019,13485.81,12625.86,365.08,476.19,17.86,0.81
Majene,2019,11857.42,10134.05,1122.74,583.19,15.57,1.87
Polewali Mandar,2019,12839.57,11239.39,237.17,1354.35,7.59,1.07
Mamasa,2019,12219.69,11160.74,1031.29,0.0,27.66,0.0
Mamuju,2019,14706.7,12662.71,954.08,1077.71,9.41,2.78
Mamuju Utara,2019,17345.25,16894.58,22.45,386.72,36.98,4.52
Mamuju Tengah,2019,16892.68,15199.02,504.48,1168.6,14.66,5.91
Maluku Tenggara Barat,2019,13058.61,10944.52,827.77,345.84,857.84,82.65
Maluku Tenggara,2019,11240.84,9760.29,470.32,583.98,399.14,27.1
Maluku Tengah,2019,12327.02,8734.2,1473.25,1764.84,354.74,0.0
Buru,2019,18315.84,14050.02,1541.21,2034.02,562.31,128.28
Kepulauan Aru,2019,16334.88,14219.74,545.63,832.9,676.5,60.11
Seram Bagian Barat,2019,9580.88,7804.85,961.49,272.53,525.75,16.26
Seram Bagian Timur,2019,16458.22,13007.56,1357.02,542.12,1414.71,136.81
Maluku Barat Daya,2019,8479.44,6482.6,47.48,770.52,1108.89,69.95
Buru Selatan,2019,14037.97,11429.28,699.49,597.44,1195.09,116.66
Kota Ambon,2019,14985.25,12222.83,800.17,1921.56,21.79,18.9
Kota Tual,2019,11372.86,9065.54,1401.66,685.43,106.67,113.56
Halmahera Barat,2019,14684.5,12845.79,586.85,794.34,435.86,21.66
Halmahera Tengah,2019,25493.24,20728.74,523.81,2749.5,751.32,739.87
Kepulauan Sula,2019,15388.99,12964.42,1547.73,272.14,539.49,65.23
Halmahera Selatan,2019,18270.66,14009.44,652.24,1604.32,1781.99,222.67
Halmahera Utara,2019,13739.21,10562.14,248.41,2577.8,245.89,104.98
Halmahera Timur,2019,18306.7,13970.6,319.1,2837.74,1039.28,139.98
Pulau Morotai,2019,21236.88,19137.04,592.3,878.1,569.41,60.03
Pulau Taliabu,2019,19337.23,17467.61,163.78,783.39,815.78,106.67
Kota Ternate,2019,22480.66,18543.05,974.12,2367.13,0.0,596.37
Kota Tidore Kepulauan,2019,18053.81,15572.33,668.74,1309.94,301.65,201.15
Fakfak,2019,26302.9,19300.42,908.91,5889.34,37.26,166.98
Kaimana,2019,18057.66,15229.56,1618.68,469.16,179.67,560.6
Teluk Wondama,2019,34289.42,17114.39,650.52,6381.59,152.98,9989.95
Teluk Bintuni,2019,33640.08,28033.32,1894.42,1492.74,83.76,2135.83
Manokwari,2019,23065.04,16145.82,1086.66,4114.25,110.97,1607.36
Manokwari Selatan,2019,19222.3,17087.45,66.76,982.28,52.69,1033.13
Pegunungan Arfak,2019,3397.25,2641.77,72.12,53.45,0.0,629.91
Raja Ampat,2019,30411.16,20291.04,1599.92,1456.02,96.75,6967.43
Sorong,2019,20663.34,17398.62,1086.36,1565.99,64.15,548.21
Sorong Selatan,2019,19859.78,17905.33,426.25,473.26,374.35,680.6
Maybrat,2019,18223.97,17313.87,61.82,223.24,179.7,445.34
Tambrauw,2019,11654.7,9133.64,139.04,418.36,105.09,1858.57
Kota Sorong,2019,20134.03,15201.54,769.35,3644.31,11.21,507.62
Jayapura,2019,18167.88,12979.7,998.17,455.82,17.77,3716.42
Kepulauan Yapen,2019,18281.33,10891.12,141.48,2980.87,71.71,4196.15
Biak Numfor,2019,13997.75,8162.39,375.59,200.85,5.87,5253.04
Sarmi,2019,13650.35,11063.23,43.64,701.53,235.85,1606.09
Keerom,2019,18502.19,13909.16,735.07,3435.87,82.7,339.4
Waropen,2019,19073.22,4967.76,115.69,1870.97,18.91,12099.89
Supiori,2019,15653.73,8814.12,48.01,7.99,5.37,6778.24
Mamberamo Raya,2019,11158.96,5867.38,119.96,482.85,124.62,4564.15
Kota Jayapura,2019,21315.45,13071.23,1735.45,5277.83,9.72,1221.23
Merauke,2019,25933.08,20056.75,2236.7,2497.99,475.12,666.52
Boven Digoel,2019,27295.1,21195.55,667.38,3581.14,461.91,1389.12
Mappi,2019,12306.01,9843.29,931.64,0.0,1133.61,397.46
Asmat,2019,13226.34,10480.3,559.89,86.06,2041.28,58.8
Mimika,2019,21606.17,15622.77,2810.66,2577.68,36.0,559.06
Dogiyai,2019,3317.13,2795.53,99.34,181.66,240.6,0.0
Deiyai,2019,1668.05,1556.7,111.35,0.0,0.0,0.0
Nabire,2019,19362.19,16711.53,285.12,1796.48,31.04,538.02
Paniai,2019,9624.3,8993.82,630.48,0.0,0.0,0.0
Intan Jaya,2019,6567.36,6175.53,339.54,52.29,0.0,0.0
Puncak,2019,6903.74,6903.74,0.0,0.0,0.0,0.0
Puncak Jaya,2019,10755.07,8663.08,79.3,212.69,0.0,1799.99
Nduga,2019,10427.63,6088.77,1550.48,19.46,2768.92,0.0
Jayawijaya,2019,16796.24,16242.46,127.86,18.35,91.73,315.84
Lanny Jaya,2019,20905.57,17894.57,209.53,26.43,1316.31,1458.73
Tolikara,2019,13044.39,9682.73,0.0,1431.07,0.0,1930.59
Mamberamo Tengah,2019,15603.26,15466.87,0.0,0.0,136.39,0.0
Yalimo,2019,23152.1,19563.58,2801.8,0.0,317.53,469.19
Yahukimo,2019,6412.7,4531.57,1367.01,144.35,0.0,369.77
Pegunungan Bintang,2019,18055.29,18012.97,0.0,0.0,0.0,42.32
Simeulue,2020,17697.43,13125.82,3217.94,1347.54,6.14,0.0
Aceh Singkil,2020,18407.61,15886.84,1187.97,1153.9,28.31,150.58
Aceh Selatan,2020,18703.92,13173.44,4335.36,1027.45,128.05,39.62
Aceh Tenggara,2020,20164.26,16716.64,2696.97,670.85,27.47,52.33
Aceh Timur,2020,25768.38,18922.86,5407.6,1405.72,5.62,26.58
Aceh Tengah,2020,25062.25,16867.02,5336.47,2430.25,82.21,346.31
Aceh Barat,2020,26227.26,21832.57,3392.93,540.64,370.58,90.54
Aceh Besar,2020,15995.95,9690.82,3329.84,2935.66,27.25,12.38
Pidie,2020,18460.8,12015.09,5231.5,1183.41,24.53,6.28
Bireuen,2020,16852.88,11693.2,4762.9,357.44,38.93,0.41
Aceh Utara,2020,16122.82,10526.46,4642.21,942.67,5.56,5.93
Aceh Barat Daya,2020,20489.48,15543.22,4344.34,313.98,185.41,102.53
Gayo Lues,2020,19913.72,14037.84,5107.65,156.2,423.79,188.25
Aceh Tamiang,2020,13839.42,11524.67,1432.04,789.0,14.55,79.15
Nagan Raya,2020,24690.99,19282.38,3398.8,1546.63,433.87,29.31
Aceh Jaya,2020,26205.53,15442.2,6807.18,3766.99,153.31,35.85
Bener Meriah,2020,25006.76,18393.3,6113.95,441.74,24.12,33.65
Pidie Jaya,2020,21347.18,14529.14,6471.27,331.2,15.57,0.0
Kota Banda Aceh,2020,18120.99,15958.95,1366.36,581.58,11.89,202.22
Kota Sabang,2020,21316.7,18948.25,1775.02,581.12,2.5,9.81
Kota Langsa,2020,15768.75,11509.04,2988.92,1237.62,33.17,0.0
Kota Lhokseumawe,2020,17116.37,15052.24,1083.74,980.4,0.0,0.0
Kota Subulussalam,2020,20778.97,17176.81,3079.75,475.54,36.84,10.03
Nias,2020,7262.18,5777.14,1235.27,20.06,42.34,187.37
Mandailing Natal,2020,19952.21,15611.18,1245.21,3011.96,78.24,5.6
Tapanuli Selatan,2020,20706.13,16168.62,3054.46,1470.9,12.15,0.0
Tapanuli Tengah,2020,18625.77,13270.98,3869.12,1330.05,61.43,94.2
Tapanuli Utara,2020,19756.77,12673.28,5985.94,999.77,72.47,25.31
Toba Samosir,2020,21794.91,15943.56,4145.62,1642.36,55.94,7.42
Labuhan Batu,2020,18583.1,14745.56,2191.17,1630.65,15.72,0.0
Asahan,2020,17567.19,13894.55,1599.93,1889.75,70.44,112.51
Simalungun,2020,20582.49,15570.66,2987.62,1735.71,38.26,250.25
Dairi,2020,20660.58,14808.92,4107.64,882.36,358.92,502.75
Karo,2020,31585.71,21900.39,2181.17,2972.1,1879.42,2652.63
Deli Serdang,2020,18523.34,15317.74,1699.42,1247.96,39.14,219.08
Langkat,2020,17685.64,14271.78,2941.12,399.68,55.95,17.11
Nias Selatan,2020,8991.14,6450.15,1385.61,96.07,83.21,976.09
Humbang Hasundutan,2020,19777.91,12996.37,4385.1,2352.77,43.67,0.0
Pakpak Bharat,2020,18794.62,15267.05,2679.3,585.34,181.17,81.76
Samosir,2020,21127.17,13633.45,5374.71,1452.51,127.21,539.29
Serdang Bedagai,2020,18756.44,14440.06,3217.94,1036.47,29.42,32.56
Batu Bara,2020,19165.05,15860.85,871.36,2381.15,46.38,5.31
Padang Lawas Utara,2020,22344.95,15862.95,3414.48,2767.42,188.12,111.98
Padang Lawas,2020,22073.94,14686.88,4068.62,3186.04,111.51,20.9
Labuhan Batu Selatan,2020,21280.79,14926.7,4328.56,1967.29,58.25,0.0
Labuhan Batu Utara,2020,17694.96,14821.9,1875.04,994.89,3.14,0.0
Nias Utara,2020,8563.59,6077.68,2266.03,30.28,31.38,158.23
Nias Barat,2020,7888.32,5016.22,1618.29,838.44,1.77,413.6
Kota Sibolga,2020,20204.63,16301.34,2540.51,1361.37,1.41,0.0
Kota Tanjung Balai,2020,21511.14,18986.34,1789.03,726.94,0.0,8.82
Kota Pematang Siantar,2020,17255.46,12306.71,1905.93,3023.71,3.28,15.82
Kota Tebing Tinggi,2020,16703.06,14737.23,1243.73,715.32,6.78,0.0
Kota Medan,2020,16430.13,12991.67,1408.57,1976.02,0.0,53.87
Kota Binjai,2020,13211.19,10939.89,1645.72,586.27,5.2,34.1
Kota Padangsidimpuan,2020,21887.1,16590.0,2949.39,2162.81,20.25,164.65
Kota Gunungsitoli,2020,12966.61,9475.58,1561.16,1613.6,15.63,300.64
Kepulauan Mentawai,2020,19295.3,17469.78,685.78,846.35,244.72,48.66
Pesisir Selatan,2020,20258.24,16902.44,1250.26,2012.88,24.99,67.67
Solok,2020,24753.49,20649.34,2480.7,1554.33,56.79,12.32
Sijunjung,2020,20486.43,18904.0,1363.12,64.56,115.2,39.55
Tanah Datar,2020,18884.55,15266.39,2245.23,1331.7,31.39,9.83
Padang Pariaman,2020,20613.88,18647.04,1182.32,776.47,0.55,7.49
Agam,2020,19582.07,16426.97,1237.69,1831.56,52.61,33.24
Lima Puluh Kota,2020,19716.12,16994.26,1353.49,973.93,280.03,114.42
Pasaman,2020,18505.48,15542.25,1098.94,1449.03,339.9,75.36
Solok Selatan,2020,23266.36,18229.47,948.04,3994.88,57.47,36.51
Dharmasraya,2020,23036.4,20721.06,898.76,1345.79,31.56,39.24
Pasaman Barat,2020,22823.59,20346.02,1136.43,1211.52,81.22,48.4
Kota Padang,2020,19435.94,17292.82,1179.68,919.37,3.5,40.58
Kota Solok,2020,20715.14,17627.83,1683.18,1326.17,3.95,74.0
Kota Sawah Lunto,2020,18037.32,15561.6,586.59,1771.68,82.95,34.5
Kota Padang Panjang,2020,19544.05,16147.41,1248.82,1979.06,18.14,150.63
Kota Bukittinggi,2020,19218.74,13323.16,1496.74,3708.32,33.28,657.25
Kota Payakumbuh,2020,19441.69,14134.5,1035.37,4031.05,3.93,236.85
Kota Pariaman,2020,21897.91,16543.72,3214.27,2023.74,1.04,115.13
Kuantan Singingi,2020,18572.72,16727.15,934.54,848.17,22.36,40.5
Indragiri Hulu,2020,19492.49,15521.92,362.82,3490.26,70.89,46.59
Indragiri Hilir,2020,16152.44,14438.02,630.11,883.93,58.44,141.93
Pelalawan,2020,23343.83,19705.09,1447.29,1919.9,121.64,149.9
Siak,2020,22202.77,18880.73,999.06,2237.14,19.43,66.4
Kampar,2020,18766.7,15507.54,1902.24,1227.78,56.56,72.57
Rokan Hulu,2020,20880.07,17871.25,857.32,1723.93,208.37,219.19
Bengkalis,2020,22112.57,17582.36,1304.79,3131.9,21.87,71.65
Rokan Hilir,2020,21912.83,18809.04,961.65,2043.41,89.08,9.65
Kepulauan Meranti,2020,22001.15,17966.33,2406.81,1450.03,50.04,127.95
Kota Pekanbaru,2020,17446.73,15571.23,993.29,860.62,5.7,15.88
Kota Dumai,2020,21017.36,16637.59,1401.04,2782.8,0.14,195.79
Kerinci,2020,21855.68,19394.85,448.39,1929.18,47.28,35.98
Merangin,2020,20514.93,16413.67,1212.33,2802.51,25.98,60.44
Sarolangun,2020,21604.82,16636.36,2857.72,2062.59,47.76,0.39
Batang Hari,2020,18835.85,16664.9,540.37,1583.8,4.95,41.82
Muaro Jambi,2020,19844.12,16823.07,1418.7,1602.35,0.0,0.0
Tanjung Jabung Timur,2020,21535.25,20059.78,1347.75,71.38,50.5,5.84
Tanjung Jabung Barat,2020,16603.35,14570.7,810.71,843.42,48.25,330.28
Tebo,2020,18023.03,16394.85,605.93,964.99,48.62,8.65
Bungo,2020,20181.52,17764.53,1666.33,741.76,8.91,0.0
Kota Jambi,2020,15219.67,13792.66,1238.63,72.16,0.0,116.21
Kota Sungai Penuh,2020,25124.33,23670.82,615.21,741.4,3.63,93.26
Ogan Komering Ulu,2020,17442.15,13590.24,3516.77,184.83,117.5,32.81
Ogan Komering Ilir,2020,19529.07,15156.56,3336.66,649.16,250.66,136.03
Muara Enim,2020,16166.16,11745.61,4153.36,150.4,56.82,59.97
Lahat,2020,18228.63,11775.85,5907.24,475.23,11.55,58.76
Musi Rawas,2020,20868.07,11189.43,8697.88,688.54,181.43,110.78
Musi Banyuasin,2020,21593.08,17419.87,3396.19,652.71,18.05,106.26
Banyu Asin,2020,17256.79,13674.69,2807.04,690.36,80.39,4.32
Ogan Komering Ulu Selatan,2020,16577.83,8645.36,7084.09,201.99,284.61,361.79
Ogan Komering Ulu Timur,2020,16872.17,11323.75,4739.95,368.34,284.8,155.33
Ogan Ilir,2020,19395.13,15950.52,2727.67,660.31,41.26,15.37
Empat Lawang,2020,16069.13,9070.78,6793.13,0.0,180.25,24.98
Penukal Abab Lematang Ilir,2020,14511.19,8712.51,5564.65,188.38,19.55,26.09
Musi Rawas Utara,2020,15391.95,11438.71,3685.68,143.9,79.43,44.24
Kota Palembang,2020,14863.21,12089.44,1817.87,862.5,0.0,93.39
Kota Prabumulih,2020,12401.98,9061.11,2260.58,1080.29,0.0,0.0
Kota Pagar Alam,2020,17553.94,9456.06,7599.13,458.93,39.15,0.68
Kota Lubuklinggau,2020,12366.39,7855.62,3199.04,1288.66,20.93,2.14
Bengkulu Selatan,2020,17607.49,11585.52,5203.25,688.57,8.23,121.92
Rejang Lebong,2020,17036.17,11843.14,4889.31,185.36,11.08,107.27
Bengkulu Utara,2020,18743.45,13371.51,3462.7,1794.68,112.89,1.66
Kaur,2020,22606.1,16958.84,5171.26,247.47,183.53,45.0
Seluma,2020,20508.55,15607.4,4815.46,54.96,30.74,0.0
Mukomuko,2020,26538.93,21295.3,3807.91,1213.94,93.06,128.73
Lebong,2020,20553.38,15785.79,4404.59,210.74,48.81,103.45
Kepahiang,2020,16979.52,8079.81,8141.73,711.08,35.46,11.43
Bengkulu Tengah,2020,19775.93,16127.22,3153.05,394.9,95.28,5.48
Kota Bengkulu,2020,18394.26,14541.75,2819.56,851.61,0.0,181.35
Lampung Barat,2020,18264.61,9597.95,7326.81,209.7,859.66,270.49
Tanggamus,2020,17838.08,10723.16,5923.27,606.71,448.67,136.27
Lampung Selatan,2020,18454.67,13249.04,3342.3,1489.94,283.97,89.41
Lampung Timur,2020,17017.44,13077.29,2959.73,555.6,256.69,168.13
Lampung Tengah,2020,15934.57,11311.6,3192.74,928.88,271.19,230.16
Lampung Utara,2020,15804.15,10952.69,4256.17,494.93,88.19,12.19
Way Kanan,2020,13779.57,9260.77,3551.77,340.68,419.17,207.18
Tulangbawang,2020,17718.69,14324.82,2759.96,301.31,204.88,127.71
Pesawaran,2020,18110.53,11221.16,5968.73,554.67,266.42,99.55
Pringsewu,2020,17204.45,11045.43,5065.63,718.68,134.49,240.21
Mesuji,2020,16339.11,13053.31,2209.08,403.08,475.97,197.67
Tulang Bawang Barat,2020,18715.83,15946.07,2140.42,415.89,125.6,87.87
Pesisir Barat,2020,22591.88,14625.78,6808.35,869.35,229.04,59.37
Kota Bandar Lampung,2020,18806.45,16355.29,1242.49,1164.04,0.16,44.46
Kota Metro,2020,19136.8,16454.38,1390.91,819.21,65.84,406.46
Bangka,2020,24290.81,20185.38,2387.83,1706.16,3.8,7.64
Belitung,2020,27194.23,22941.36,1587.76,2280.55,8.45,376.12
Bangka Barat,2020,23378.95,16123.89,3288.68,3758.7,55.78,151.9
Bangka Tengah,2020,28071.37,24771.42,1828.99,1340.93,69.33,60.71
Bangka Selatan,2020,23077.34,19235.14,598.5,3172.05,71.64,0.0
Belitung Timur,2020,32580.77,29944.3,2211.32,343.83,2.75,78.56
Kota Pangkal Pinang,2020,24271.56,21542.87,885.1,1463.25,6.23,374.11
Karimun,2020,16913.84,14004.86,1213.55,1642.51,4.87,48.06
Bintan,2020,16553.26,15854.49,461.29,222.89,12.38,2.21
Natuna,2020,22932.88,18006.69,1314.48,3520.75,15.73,75.24
Lingga,2020,17941.9,15964.65,883.87,1011.51,0.99,80.88
Kepulauan Anambas,2020,26945.1,23416.92,925.65,2602.53,0.0,0.0
Kota Batam,2020,18409.53,15602.62,688.68,2033.42,0.0,84.82
Kota Tanjung Pinang,2020,13726.63,11617.19,265.13,1844.31,0.0,0.0
Kep. Seribu,2020,22953.28,17894.97,2444.61,2544.62,0.0,69.07
Jakarta Selatan,2020,17164.79,11257.46,1922.14,3682.89,0.0,302.31
Jakarta Timur,2020,14547.03,11507.52,1111.89,1736.51,0.0,191.1
Jakarta Pusat,2020,16866.98,12735.94,1144.4,2833.51,0.0,153.14
Jakarta Barat,2020,21292.99,15129.89,2108.18,3913.55,0.0,141.37
Jakarta Utara,2020,19070.56,14409.07,1657.08,2861.57,3.08,139.75
Bogor,2020,18311.81,14168.43,2600.77,1483.95,3.05,55.61
Sukabumi,2020,22114.97,14529.06,6614.18,925.22,34.93,11.57
Cianjur,2020,19358.43,13174.78,5012.69,878.93,280.8,11.23
Bandung,2020,18162.35,11384.73,4772.86,1733.36,40.04,231.36
Garut,2020,20169.27,9199.64,8600.93,2023.56,322.48,22.66
Tasikmalaya,2020,22006.35,10056.01,10899.37,852.6,154.51,43.85
Ciamis,2020,20898.74,13459.62,6498.17,609.26,150.22,181.47
Kuningan,2020,18936.89,13874.41,4249.1,600.93,59.31,153.15
Cirebon,2020,16088.41,13611.59,1999.69,396.56,5.99,74.59
Majalengka,2020,17882.32,13027.94,3811.63,839.07,42.93,160.74
Sumedang,2020,20442.48,9912.89,8130.29,2145.92,142.01,111.37
Indramayu,2020,21482.3,15784.39,5214.75,320.02,63.22,99.93
Subang,2020,21044.04,13022.12,5988.29,1871.59,35.99,126.04
Purwakarta,2020,19051.35,14763.22,3331.06,668.15,52.88,236.04
Karawang,2020,18090.09,13175.36,3850.38,1028.08,24.15,12.11
Bekasi,2020,20589.14,17650.03,1409.72,1197.6,0.32,331.46
Bandung Barat,2020,21472.13,13367.21,6530.81,1430.98,71.18,71.95
Pangandaran,2020,22826.02,13821.41,5731.53,2644.64,494.17,134.27
Kota Bogor,2020,19988.05,14554.98,1918.02,3352.14,0.0,162.9
Kota Sukabumi,2020,22258.59,15918.59,2731.03,3518.74,2.45,87.78
Kota Bandung,2020,18215.31,14720.25,1797.55,1531.01,0.78,165.73
