Kabupaten/Kota,Tahun,ROKOK DAN TEMBAKAU,Rokok kretek filter,Rokok kretek tanpa filter,Rokok putih,Tembakau,Rokok dan tembakau Lainnya
Siak,2018,17144.44,13438.82,1146.17,2517.64,35.8,6.01
Kampar,2018,16879.63,13962.84,1200.14,1637.8,39.56,39.3
Rokan Hulu,2018,22208.4,18848.89,1640.07,1427.87,233.47,58.1
Bengkalis,2018,19804.05,16293.83,1385.32,2018.03,106.87,0.0
Rokan Hilir,2018,17848.77,13906.19,2258.56,1587.51,89.82,6.69
Kepulauan Meranti,2018,19434.87,15989.72,1924.7,1435.41,85.05,0.0
Kota Pekanbaru,2018,18800.18,15380.58,1613.7,1628.29,13.75,163.86
Kota Dumai,2018,18645.43,13906.29,1977.89,2666.09,7.86,87.3
Kerinci,2018,19766.9,19234.08,447.26,42.33,23.69,19.55
Merangin,2018,17318.2,13505.56,2329.87,1435.6,47.18,0.0
Sarolangun,2018,16646.14,14008.63,1227.59,1305.88,72.96,31.08
Batang Hari,2018,16260.23,13655.01,1099.92,1447.11,57.82,0.37
Muaro Jambi,2018,18883.13,13038.22,2256.25,3545.64,19.96,23.05
Tanjung Jabung Timur,2018,22258.17,20831.27,1171.47,198.46,34.56,22.41
Tanjung Jabung Barat,2018,14032.42,12431.18,738.08,716.32,144.34,2.51
Tebo,2018,14828.53,12149.21,1503.74,1084.23,66.94,24.41
Bungo,2018,17822.34,15651.55,1067.52,1080.4,20.67,2.2
Kota Jambi,2018,15704.68,11196.42,2119.62,2352.7,1.21,34.73
Kota Sungai Penuh,2018,22243.11,16023.14,863.18,5356.8,0.0,0.0
Ogan Komering Ulu,2018,16744.47,12197.2,4351.51,36.43,140.65,18.68
Ogan Komering Ilir,2018,18940.03,14155.16,2936.14,1434.4,288.44,125.88
Muara Enim,2018,16522.17,10937.47,4646.96,898.52,31.61,7.6
Lahat,2018,17199.83,10859.0,6240.38,46.01,15.61,38.82
Musi Rawas,2018,14497.45,7959.09,5952.29,351.59,84.01,150.48
Musi Banyuasin,2018,21289.28,16819.61,3843.69,527.73,95.49,2.76
Banyu Asin,2018,16577.48,12428.88,2359.06,1681.6,76.25,31.7
Ogan Komering Ulu Selatan,2018,16321.43,8088.8,7182.87,387.92,496.31,165.53
Ogan Komering Ulu Timur,2018,15904.63,11339.79,3581.66,598.44,283.48,101.27
Ogan Ilir,2018,17342.91,12466.96,3009.32,1762.26,78.99,25.39
Empat Lawang,2018,14512.17,6204.73,7970.88,112.91,197.77,25.89
Penukal Abab Lematang Ilir,2018,15458.76,8709.15,5672.19,1036.97,3.36,37.1
Musi Rawas Utara,2018,19313.93,14208.22,5055.22,10.73,28.32,11.44
Kota Palembang,2018,13134.09,11017.13,856.68,1211.35,1.03,47.9
Kota Prabumulih,2018,13752.65,8527.33,2095.32,3103.82,26.19,0.0
Kota Pagar Alam,2018,17170.86,8877.27,7372.82,885.0,31.25,4.53
Kota Lubuklinggau,2018,15457.82,10823.84,3336.12,1212.23,12.1,73.53
Bengkulu Selatan,2018,16783.94,10346.22,4584.89,1823.89,21.89,7.04
Rejang Lebong,2018,16271.42,10594.12,5364.34,235.76,58.55,18.65
Bengkulu Utara,2018,20494.55,15126.54,4306.07,869.66,160.16,32.13
Kaur,2018,20532.39,14665.1,4615.72,923.02,288.11,40.43
Seluma,2018,17951.04,11998.25,3387.22,2460.57,43.42,61.58
Mukomuko,2018,22256.44,16392.74,4106.36,1274.33,348.34,134.67
Lebong,2018,21838.36,16744.64,4880.82,171.68,22.96,18.26
Kepahiang,2018,16750.44,8955.27,6551.27,1079.64,128.93,35.34
Bengkulu Tengah,2018,22104.49,14764.12,4854.56,2383.43,26.36,76.02
Kota Bengkulu,2018,17261.6,15797.85,983.7,469.19,2.79,8.08
Lampung Barat,2018,16923.01,10701.46,4884.5,144.36,775.63,417.07
Tanggamus,2018,16502.88,8625.27,6806.9,159.84,654.2,256.66
Lampung Selatan,2018,16586.79,10943.32,3933.77,1383.39,217.03,109.29
Lampung Timur,2018,15018.99,9898.17,3675.22,1097.71,261.51,86.38
Lampung Tengah,2018,12704.15,7738.41,3521.46,878.94,349.66,215.69
Lampung Utara,2018,13934.65,9541.31,4016.67,162.95,187.82,25.9
Way Kanan,2018,16512.84,8854.47,6431.72,672.86,341.31,212.49
Tulangbawang,2018,15389.56,11537.94,2255.71,1100.68,359.15,136.08
Pesawaran,2018,16378.42,10666.19,4799.31,498.74,323.12,91.06
Pringsewu,2018,15029.63,8670.18,5417.24,516.13,252.76,173.34
Mesuji,2018,16368.47,12317.96,3124.21,336.61,402.54,187.14
Tulang Bawang Barat,2018,15176.22,12742.3,2011.91,47.21,281.88,92.93
Pesisir Barat,2018,17657.31,11081.3,5356.67,925.33,162.19,131.82
Kota Bandar Lampung,2018,19604.68,15402.69,2110.81,2083.79,7.38,0.0
Kota Metro,2018,17536.12,14298.44,2386.96,728.98,102.98,18.76
Bangka,2018,20649.77,17498.18,1011.1,2114.18,19.99,6.32
Belitung,2018,22381.81,18400.97,1734.58,2117.91,84.21,44.14
Bangka Barat,2018,24608.51,17829.88,3158.74,3410.2,37.89,171.79
Bangka Tengah,2018,23544.47,21778.77,1409.6,321.06,35.04,0.0
Bangka Selatan,2018,23199.87,19059.82,1359.89,2766.5,13.66,0.0
Belitung Timur,2018,25640.43,22629.21,1561.59,1359.9,46.45,43.28
Kota Pangkal Pinang,2018,22841.44,18407.95,1390.57,2962.38,34.34,46.2
Karimun,2018,15153.17,10808.81,1362.22,2898.49,83.65,0.0
Bintan,2018,14151.01,11142.6,780.54,2178.93,48.94,0.0
Natuna,2018,18369.85,13159.38,2679.43,2475.98,4.37,50.68
Lingga,2018,14157.19,12277.02,1249.67,468.83,117.31,44.36
Kepulauan Anambas,2018,22996.07,16782.19,1805.07,4146.08,120.51,142.21
Kota Batam,2018,15018.55,11685.88,1154.08,2178.58,0.0,0.0
Kota Tanjung Pinang,2018,14516.91,12933.01,734.75,776.65,6.51,65.98
Kep. Seribu,2018,35389.22,25626.8,3838.37,5560.42,20.87,342.76
Jakarta Selatan,2018,17531.88,9735.79,1827.13,5934.02,0.0,34.94
Jakarta Timur,2018,17133.66,12755.85,1545.16,2643.14,2.84,186.68
Jakarta Pusat,2018,14038.34,10684.4,623.62,2726.8,3.53,0.0
Jakarta Barat,2018,19616.78,15037.54,736.58,3741.5,35.12,66.04
Jakarta Utara,2018,18051.56,13167.97,1596.72,2607.3,0.0,679.57
Bogor,2018,20156.44,14555.18,3875.67,1625.94,18.03,81.62
Sukabumi,2018,21714.86,12002.92,6726.13,2822.76,139.21,23.84
Cianjur,2018,15727.49,10523.67,3224.07,1477.83,414.13,87.8
Bandung,2018,16588.19,9025.24,4666.7,2808.54,57.8,29.91
Garut,2018,20534.25,9191.24,8623.24,2229.47,439.53,50.77
Tasikmalaya,2018,13209.92,6646.81,5133.29,1144.96,237.59,47.27
Ciamis,2018,16973.31,8523.75,6524.65,1518.42,325.13,81.35
Kuningan,2018,15086.3,9640.61,4623.09,754.52,55.69,12.39
Cirebon,2018,12997.15,10234.12,2232.81,513.67,8.27,8.28
Majalengka,2018,17845.02,12414.8,3533.56,1776.02,107.33,13.3
Sumedang,2018,16228.53,9305.64,4435.75,2227.58,169.44,90.12
Indramayu,2018,18838.57,13408.36,4883.18,501.07,32.66,13.3
Subang,2018,20768.19,13671.47,5343.41,1701.32,29.58,22.42
Purwakarta,2018,17368.73,11634.05,3472.74,2090.41,68.71,102.82
Karawang,2018,20501.99,14568.62,3923.32,1988.67,18.08,3.29
Bekasi,2018,17642.27,13205.39,1840.03,2570.21,22.61,4.04
Bandung Barat,2018,15746.26,9035.91,4282.42,2214.8,190.16,22.97
Pangandaran,2018,17894.52,9449.83,4345.88,3520.17,500.07,78.57
Kota Bogor,2018,17932.74,12321.06,2168.95,3386.59,0.0,56.14
Kota Sukabumi,2018,20437.14,14401.42,4225.71,1808.24,1.78,0.0
Kota Bandung,2018,17643.81,11896.27,2269.99,3332.96,12.62,131.97
Kota Cirebon,2018,11277.08,8862.7,1101.32,1303.18,9.87,0.0
Kota Bekasi,2018,14378.83,10316.82,1759.82,2106.13,0.0,196.06
Kota Depok,2018,15615.67,9765.23,2541.37,3309.07,0.0,0.0
Kota Cimahi,2018,16414.79,9948.1,3541.22,2760.22,8.07,157.19
Kota Tasikmalaya,2018,17230.75,13243.61,3415.82,531.57,33.75,6.01
Kota Banjar,2018,18009.04,8131.99,6339.46,3216.8,218.77,102.01
Cilacap,2018,13260.14,8637.84,3159.14,831.45,385.0,246.71
Banyumas,2018,13755.58,8770.95,2715.43,1769.45,303.84,195.91
Purbalingga,2018,12007.96,7352.01,2722.84,1340.2,430.8,162.09
Banjarnegara,2018,12954.22,5294.74,3655.51,1414.17,1748.75,841.05
Kebumen,2018,9307.05,5227.38,2799.67,366.53,526.21,387.27
Purworejo,2018,9500.21,5533.16,2408.15,932.89,372.3,253.72
Wonosobo,2018,12743.37,7864.86,1460.15,1623.1,1109.19,686.07
Magelang,2018,10662.57,7614.18,1198.89,1065.43,493.64,290.42
Boyolali,2018,10453.52,7891.48,1354.93,960.73,163.85,82.53
Klaten,2018,9821.48,7022.37,1725.83,918.71,121.36,33.21
Sukoharjo,2018,7483.67,6007.96,831.46,635.2,8.02,1.03
Wonogiri,2018,10435.56,7113.02,2014.25,1076.31,197.62,34.37
Karanganyar,2018,10837.95,9680.9,619.44,476.36,33.5,27.76
Sragen,2018,11659.79,8788.51,2189.33,565.62,96.58,19.76
Grobogan,2018,12114.71,10938.65,612.31,153.05,359.8,50.9
Blora,2018,8656.26,7660.79,414.19,284.22,208.13,88.93
Rembang,2018,15617.56,13031.43,865.29,1420.64,244.55,55.65
Pati,2018,12295.62,11035.28,552.42,677.33,28.27,2.32
Kudus,2018,11839.95,11287.42,250.61,283.31,17.24,1.38
Jepara,2018,10677.71,9290.35,565.65,780.4,9.24,32.07
Demak,2018,15242.38,13625.94,1055.12,518.11,38.32,4.88
Semarang,2018,12066.59,9656.28,1005.64,794.86,405.61,204.2
Temanggung,2018,8882.87,5231.02,1120.39,333.42,1463.27,734.77
Kendal,2018,12913.56,11525.31,532.87,322.01,377.34,156.03
Batang,2018,14308.0,12359.38,1138.35,586.11,183.48,40.68
Pekalongan,2018,11912.71,10408.83,1295.68,110.41,82.77,15.02
Pemalang,2018,14908.84,9736.62,4332.48,621.36,160.99,57.4
Tegal,2018,10924.14,8328.61,2276.64,282.74,19.13,17.02
Brebes,2018,13944.95,9032.49,4153.28,615.44,128.69,15.04
Kota Magelang,2018,9993.28,7422.85,928.82,1454.86,62.03,124.71
Kota Surakarta,2018,8100.6,6838.96,497.84,673.95,10.11,79.74
Kota Salatiga,2018,11950.24,9713.92,1193.59,817.68,111.08,113.98
Kota Semarang,2018,10769.66,9673.74,512.7,537.34,25.25,20.63
Kota Pekalongan,2018,14631.96,13625.66,895.29,108.56,2.45,0.0
Kota Tegal,2018,13362.8,9653.93,2891.79,799.33,17.76,0.0
Kulon Progo,2018,7819.56,4871.73,958.12,1596.42,303.6,89.7
Bantul,2018,7794.15,5735.45,630.83,1271.77,103.99,52.11
Gunung Kidul,2018,10254.04,5957.79,1837.03,1972.33,333.01,153.88
Sleman,2018,9677.9,6534.55,1366.44,1649.17,28.91,98.83
Yogyakarta,2018,8406.18,7018.92,395.06,941.51,40.0,10.7
Pacitan,2018,7369.1,5375.28,1065.51,284.06,495.51,148.74
Ponorogo,2018,7958.77,5356.54,1741.83,319.16,353.67,187.57
Trenggalek,2018,8398.77,6680.01,1062.52,202.59,336.12,117.53
Tulungagung,2018,10379.71,8980.04,865.81,359.34,146.77,27.75
Blitar,2018,8109.14,7300.95,388.86,8.4,276.98,133.95
Kediri,2018,9934.77,8441.23,1081.86,294.41,68.33,48.94
Malang,2018,13038.41,11150.76,1309.15,430.66,115.41,32.43
Lumajang,2018,10840.22,7714.85,1501.75,492.37,921.16,210.08
Jember,2018,10822.8,8360.77,1466.93,415.58,404.56,174.96
Banyuwangi,2018,15818.6,12012.9,2578.1,627.25,450.76,149.6
Bondowoso,2018,10094.46,8500.24,465.98,42.43,925.31,160.5
Situbondo,2018,12274.64,9717.11,1413.62,418.31,634.63,90.97
Probolinggo,2018,11619.27,7856.41,2150.62,349.71,1107.65,154.87
Pasuruan,2018,14378.51,12394.61,1293.65,632.05,56.49,1.71
Sidoarjo,2018,14060.46,12186.89,1041.28,832.29,0.0,0.0
Mojokerto,2018,15534.86,13994.79,1070.42,447.07,22.58,0.0
Jombang,2018,12623.44,10778.37,1405.77,375.21,49.07,15.03
Nganjuk,2018,10817.04,9570.16,1128.12,85.34,33.42,0.0
Madiun,2018,11255.22,7883.88,2367.03,546.37,317.56,140.39
Magetan,2018,10498.62,8491.34,1551.12,276.14,168.85,11.18
Ngawi,2018,9114.36,7344.42,1445.87,154.64,137.15,32.28
Bojonegoro,2018,12504.3,10083.07,1592.05,589.17,187.26,52.74
Tuban,2018,12437.45,10760.05,849.0,279.14,443.95,105.31
Lamongan,2018,14959.24,11900.56,2235.27,676.64,142.41,4.34
Gresik,2018,17741.61,15789.31,719.11,1175.68,57.51,0.0
Bangkalan,2018,14776.36,12449.79,1194.85,1114.03,17.68,0.0
Sampang,2018,15827.18,13916.35,1722.8,103.37,58.62,26.03
Pamekasan,2018,12216.46,11440.12,637.22,114.85,23.3,0.98
Sumenep,2018,18262.34,14748.21,3004.51,243.46,262.16,4.0
Kota Kediri,2018,10382.1,9567.43,554.87,239.1,20.7,0.0
Kota Blitar,2018,13114.43,12277.95,646.66,31.8,70.45,87.57
Malang,2018,12752.46,10278.35,1222.26,1234.26,1.87,15.72
Kota Probolinggo,2018,9837.95,7796.73,1321.13,371.47,275.26,73.37
Kota Pasuruan,2018,11126.26,10465.14,562.54,92.67,5.91,0.0
Kota Mojokerto,2018,12108.31,10779.26,1094.18,220.05,12.39,2.43
Kota Madiun,2018,9306.91,8248.55,464.15,573.09,16.04,5.07
Kota Surabaya,2018,15355.63,13946.38,419.73,967.57,0.0,21.94
Kota Batu,2018,15044.76,12484.03,2014.8,423.53,18.68,103.72
Pandeglang,2018,20046.92,12351.48,6801.07,870.18,17.84,6.36
Lebak,2018,25724.17,18644.45,5540.26,1417.15,70.49,51.82
Tangerang,2018,19988.47,13927.37,3112.77,2937.38,4.89,6.07
Serang,2018,24646.4,18344.52,4571.36,1586.05,40.6,103.88
Kota Tangerang,2018,19199.58,14662.03,1332.58,3073.13,16.01,115.82
Kota Cilegon,2018,25075.21,14929.89,3333.75,6479.69,41.36,290.53
Kota Serang,2018,19106.16,12189.72,4453.11,2381.62,2.5,79.2
Kota Tangerang Selatan,2018,17667.11,10417.45,1730.7,5471.75,5.66,41.55
Jembrana,2018,12843.75,9756.59,545.82,2357.94,113.96,69.44
Tabanan,2018,14028.54,9438.6,725.44,3794.3,60.65,9.55
Badung,2018,11822.49,7565.72,341.27,3844.85,52.03,18.63
Gianyar,2018,8286.78,3187.49,688.89,4292.29,114.4,3.71
Klungkung,2018,7406.27,3462.21,192.44,3595.68,125.2,30.75
Bangli,2018,10787.44,6946.08,269.32,3298.54,159.86,113.65
Karangasem,2018,7215.1,5318.29,243.85,1565.41,56.42,31.13
Buleleng,2018,8771.22,4813.3,1056.37,2813.56,63.81,24.17
Kota Denpasar,2018,14458.68,9958.78,413.03,3975.73,33.09,78.05
Lombok Barat,2018,13588.09,11341.72,715.34,917.31,516.38,97.34
Lombok Tengah,2018,11894.28,9336.83,148.31,807.31,1377.89,223.94
Lombok Timur,2018,8303.91,5118.55,388.46,1480.5,1056.52,259.89
Sumbawa,2018,14182.85,9036.12,2034.73,2138.56,678.21,295.23
Dompu,2018,13784.98,10895.15,1420.96,1268.48,177.83,22.56
Bima,2018,11127.5,8051.18,2040.31,717.94,201.39,116.68
Sumbawa Barat,2018,17615.42,14942.38,584.77,1736.04,272.16,80.07
Lombok Utara,2018,11051.47,7795.01,800.94,911.55,1317.05,226.92
Kota Mataram,2018,15379.44,10911.03,1179.32,2715.67,106.0,467.42
Kota Bima,2018,14811.14,11454.69,875.99,2454.74,19.7,6.03
Sumba Barat,2018,10264.4,6263.48,2432.24,508.03,277.8,782.85
Sumba Timur,2018,9468.07,3669.49,2867.23,433.45,473.07,2024.83
Kupang,2018,7173.68,3951.14,1256.0,339.54,162.55,1464.45
Timor Tengah Selatan,2018,7447.92,1859.89,816.43,617.61,505.59,3648.4
Timor Tengah Utara,2018,7845.4,3861.09,1468.04,122.09,1534.57,859.62
Belu,2018,7233.33,3756.69,646.86,1108.33,385.32,1336.13
Alor,2018,8389.79,3243.25,1767.09,629.37,348.55,2401.52
Lembata,2018,7356.54,5536.27,627.77,317.9,174.55,700.05
Flores Timur,2018,10565.05,8945.47,690.11,694.61,109.52,125.33
Sikka,2018,6766.08,5669.29,129.02,382.23,392.46,193.09
Ende,2018,10312.95,7263.4,1004.1,1004.51,141.58,899.35
Ngada,2018,8805.92,7152.32,33.43,641.27,171.42,807.47
Manggarai,2018,10774.04,10039.6,65.82,87.48,175.92,405.21
Rote Ndao,2018,6048.26,3711.84,436.89,246.42,559.19,1093.92
Manggarai Barat,2018,11511.94,10953.4,219.76,156.28,61.39,121.12
Sumba Tengah,2018,10718.19,6822.98,1600.31,297.57,697.99,1299.34
Sumba Barat Daya,2018,7894.63,4388.78,1185.43,85.18,318.54,1916.7
Nagekeo,2018,9409.12,7552.4,733.0,189.5,128.11,806.1
Manggarai Timur,2018,7195.94,5378.83,45.03,693.98,564.38,513.73
Sabu Raijua,2018,6156.89,3245.77,447.36,393.9,673.45,1396.4
Malaka,2018,6291.83,2991.91,687.79,298.32,439.87,1873.93
Kota Kupang,2018,10471.82,8244.56,439.25,1403.76,9.39,374.86
Sambas,2018,11442.17,9429.03,1360.24,627.55,19.59,5.75
Bengkayang,2018,14357.59,10894.32,1838.66,643.08,560.81,420.71
Landak,2018,13983.61,8600.8,3583.82,1139.82,404.73,254.44
Mempawah,2018,17665.9,16204.89,516.23,758.05,182.5,4.22
Sanggau,2018,16517.46,10233.51,2696.73,3322.01,227.78,37.42
Ketapang,2018,19061.63,14708.33,1807.85,2416.76,69.05,59.64
Sintang,2018,17579.35,13365.61,2759.07,1118.56,229.29,106.82
Kapuas Hulu,2018,15694.17,9459.41,3859.12,2236.95,113.79,24.89
Sekadau,2018,14526.99,10528.65,2417.02,1259.9,249.92,71.5
Melawi,2018,15039.98,11478.39,1767.38,1205.5,436.44,152.27
Kayong Utara,2018,19279.05,14346.1,3902.96,864.73,143.59,21.67
Kubu Raya,2018,14427.94,11559.64,1251.85,1458.35,98.83,59.27
Kota Pontianak,2018,13789.81,11081.28,545.64,2133.47,15.04,14.38
Kota Singkawang,2018,16653.43,14522.49,1143.39,956.06,25.94,5.55
Kotawaringin Barat,2018,23605.19,19629.31,1656.56,2173.74,130.89,14.69
Kotawaringin Timur,2018,18420.02,14855.36,2436.28,1016.24,71.63,40.51
Kapuas,2018,14103.86,10984.01,1744.91,1279.23,39.35,56.37
Barito Selatan,2018,15748.67,14321.99,1367.19,33.65,1.77,24.07
Barito Utara,2018,15988.4,15067.28,619.24,217.81,64.26,19.82
Sukamara,2018,26231.04,21144.6,2955.05,1824.84,133.67,172.88
Lamandau,2018,24551.61,19406.58,2392.71,2167.85,342.37,242.11
Seruyan,2018,21379.09,18886.44,1791.0,574.52,76.99,50.13
Katingan,2018,21689.76,17050.48,3918.85,249.26,115.69,355.47
Pulang Pisau,2018,17463.81,15458.61,1508.68,358.22,106.49,31.81
Gunung Mas,2018,25061.29,19958.51,4886.93,10.74,114.39,90.73
Barito Timur,2018,17933.81,15634.5,1504.78,758.21,34.21,2.12
Murung Raya,2018,20330.32,15384.6,3200.09,1251.08,310.87,183.67
Kota Palangka Raya,2018,13154.61,11191.62,731.39,1231.41,0.19,0.0
Tanah Laut,2018,16354.83,15417.21,858.45,0.0,19.82,59.34
Kota Baru,2018,21926.24,17377.81,1935.57,2453.62,147.44,11.8
Banjar,2018,14168.33,13573.22,530.83,39.21,22.89,2.18
Barito Kuala,2018,11749.89,11525.26,199.86,0.0,20.35,4.42
Tapin,2018,16642.47,15977.08,461.58,188.58,15.24,0.0
Hulu Sungai Selatan,2018,10844.33,10282.77,119.52,442.04,0.0,0.0
Hulu Sungai Tengah,2018,13063.98,10973.22,1626.72,393.98,8.04,62.01
Hulu Sungai Utara,2018,11094.63,9675.82,641.37,497.85,0.0,279.59
Tabalong,2018,13316.76,11179.33,994.84,1142.59,0.0,0.0
Tanah Bumbu,2018,19434.31,16467.93,2489.15,360.64,116.61,0.0
Balangan,2018,11634.03,10709.92,535.83,388.28,0.0,0.0
Kota Banjarmasin,2018,11157.01,10226.42,392.55,304.05,0.0,233.98
Kota Banjar Baru,2018,14523.82,12452.16,346.77,1303.82,35.86,385.21
Paser,2018,22622.94,18966.56,987.34,2587.06,81.97,0.0
Kutai Barat,2018,18689.18,14050.67,1045.06,3573.67,19.79,0.0
Kutai Kartanegara,2018,17883.2,12736.75,1460.23,3405.09,20.47,260.66
Kutai Timur,2018,23495.57,18495.32,1993.37,2947.18,59.7,0.0
Berau,2018,21094.86,19633.51,725.41,727.7,8.24,0.0
Penajam Paser Utara,2018,17589.36,15373.41,321.8,1544.82,168.28,181.05
